"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"Evening workout 🏋️","8 Jul 2026, 18:54","8 Jul 2026, 19:49","","Incline Bench Press (Dumbbell)",,"",2,"normal",18,7,,,
"Evening workout 🏋️","8 Jul 2026, 18:54","8 Jul 2026, 19:49","","Chest Fly (Machine)",,"",0,"normal",40,8,,,
"Evening workout 🏋️","8 Jul 2026, 18:54","8 Jul 2026, 19:49","","Chest Fly (Machine)",,"",1,"normal",55,9,,,
"Evening workout 🏋️","8 Jul 2026, 18:54","8 Jul 2026, 19:49","","Chest Fly (Machine)",,"",2,"normal",52.5,8,,,
"Evening workout 🏋️","8 Jul 2026, 18:54","8 Jul 2026, 19:49","","Chest Fly (Machine)",,"",3,"normal",52.5,7,,,
"Evening workout 🏋️","8 Jul 2026, 18:54","8 Jul 2026, 19:49","","Lat Pulldown (Cable)",,"Away from scale",0,"normal",28.5,10,,,
"Evening workout 🏋️","8 Jul 2026, 18:54","8 Jul 2026, 19:49","","Lat Pulldown (Cable)",,"Away from scale",1,"normal",28.5,8,,,
"Evening workout 🏋️","8 Jul 2026, 18:54","8 Jul 2026, 19:49","","Lat Pulldown (Cable)",,"Away from scale",2,"normal",28.5,7,,,
"Evening workout 🏋️","8 Jul 2026, 18:54","8 Jul 2026, 19:49","","Lateral Raise (Cable)",,"",0,"normal",2.5,13,,,
"Evening workout 🏋️","8 Jul 2026, 18:54","8 Jul 2026, 19:49","","Lateral Raise (Cable)",,"",1,"normal",3.75,12,,,
"Evening workout 🏋️","8 Jul 2026, 18:54","8 Jul 2026, 19:49","","Lateral Raise (Cable)",,"",2,"normal",3.75,9,,,
"Evening workout 🏋️","8 Jul 2026, 18:54","8 Jul 2026, 19:49","","Face Pull",,"",0,"normal",15,15,,,
"Evening workout 🏋️","8 Jul 2026, 18:54","8 Jul 2026, 19:49","","Face Pull",,"",1,"normal",15,15,,,
"Evening workout 🏋️","8 Jul 2026, 18:54","8 Jul 2026, 19:49","","Face Pull",,"",2,"normal",15,15,,,
"Evening workout 🏋️","8 Jul 2026, 18:54","8 Jul 2026, 19:49","","Seated Incline Curl (Dumbbell)",,"",0,"normal",8,12,,,
"Evening workout 🏋️","8 Jul 2026, 18:54","8 Jul 2026, 19:49","","Seated Incline Curl (Dumbbell)",,"",1,"normal",8,10,,,
"Evening workout 🏋️","8 Jul 2026, 18:54","8 Jul 2026, 19:49","","Seated Incline Curl (Dumbbell)",,"",2,"normal",8,7,,,
"Evening workout 🏋️","8 Jul 2026, 18:54","8 Jul 2026, 19:49","","Pull Up",,"",0,"normal",,5,,,
"Evening workout 🏋️","8 Jul 2026, 18:54","8 Jul 2026, 19:49","","Pull Up",,"",1,"normal",,3,,,
"Evening workout 🏋️","6 Jul 2026, 18:53","6 Jul 2026, 19:46","","Lat Pulldown (Cable)",,"Machine next to scale",0,"normal",28.5,9,,,
"Evening workout 🏋️","6 Jul 2026, 18:53","6 Jul 2026, 19:46","","Lat Pulldown (Cable)",,"Machine next to scale",1,"normal",28.5,8,,,
"Evening workout 🏋️","6 Jul 2026, 18:53","6 Jul 2026, 19:46","","Lat Pulldown (Cable)",,"Machine next to scale",2,"normal",28.5,7,,,
"Evening workout 🏋️","6 Jul 2026, 18:53","6 Jul 2026, 19:46","","Incline Bench Press (Dumbbell)",,"",0,"normal",18,11,,,
"Evening workout 🏋️","6 Jul 2026, 18:53","6 Jul 2026, 19:46","","Incline Bench Press (Dumbbell)",,"",1,"normal",18,10,,,
"Evening workout 🏋️","6 Jul 2026, 18:53","6 Jul 2026, 19:46","","Incline Bench Press (Dumbbell)",,"",2,"normal",18,9,,,
"Evening workout 🏋️","6 Jul 2026, 18:53","6 Jul 2026, 19:46","","Lying Leg Curl (Machine)",,"",0,"normal",39,11,,,
"Evening workout 🏋️","6 Jul 2026, 18:53","6 Jul 2026, 19:46","","Lying Leg Curl (Machine)",,"",1,"normal",39,10,,,
"Evening workout 🏋️","6 Jul 2026, 18:53","6 Jul 2026, 19:46","","Lying Leg Curl (Machine)",,"",2,"normal",39,11,,,
"Evening workout 🏋️","6 Jul 2026, 18:53","6 Jul 2026, 19:46","","Triceps Pushdown",,"",0,"normal",20,13,,,
"Evening workout 🏋️","6 Jul 2026, 18:53","6 Jul 2026, 19:46","","Triceps Pushdown",,"",1,"normal",20,12,,,
"Evening workout 🏋️","6 Jul 2026, 18:53","6 Jul 2026, 19:46","","Triceps Pushdown",,"",2,"normal",20,10,,,
"Evening workout 🏋️","6 Jul 2026, 18:53","6 Jul 2026, 19:46","","Iso-Lateral Chest Press (Machine)",,"",0,"normal",12.5,11,,,
"Evening workout 🏋️","6 Jul 2026, 18:53","6 Jul 2026, 19:46","","Iso-Lateral Chest Press (Machine)",,"",1,"normal",12.5,10,,,
"Evening workout 🏋️","6 Jul 2026, 18:53","6 Jul 2026, 19:46","","Iso-Lateral Chest Press (Machine)",,"",2,"normal",12.5,9,,,
"Evening workout 🏋️","6 Jul 2026, 18:53","6 Jul 2026, 19:46","","Rear Delt Reverse Fly (Machine)",,"",0,"normal",33,15,,,
"Evening workout 🏋️","6 Jul 2026, 18:53","6 Jul 2026, 19:46","","Rear Delt Reverse Fly (Machine)",,"",1,"normal",33,14,,,
"Evening workout 🏋️","6 Jul 2026, 18:53","6 Jul 2026, 19:46","","Rear Delt Reverse Fly (Machine)",,"",2,"normal",33,14,,,
"Evening workout 🏋️","6 Jul 2026, 18:53","6 Jul 2026, 19:46","","Bicep Curl (Cable)",,"",0,"normal",17.5,11,,,
